Timestamp,market-price
2021-10-18 0:00,61546.21
2021-10-19 0:00,61971.59
2021-10-20 0:00,64287.64
2021-10-21 0:00,66063.56
2021-10-22 0:00,62354.86
2021-10-23 0:00,60697.06
2021-10-24 0:00,61277.28
2021-10-25 0:00,60884.18
2021-10-26 0:00,63070.54
2021-10-27 0:00,60345.17
2021-10-28 0:00,58538.49
2021-10-29 0:00,60587.09
2021-10-30 0:00,62249.18
2021-10-31 0:00,61731.29
2021-11-01 0:00,61373.44
2021-11-02 0:00,61029.5
2021-11-03 0:00,63241.11
2021-11-04 0:00,62954.86
2021-11-05 0:00,61441.83
2021-11-06 0:00,61072.32
2021-11-07 0:00,61516.31
2021-11-08 0:00,63293.22
2021-11-09 0:00,67562.17
2021-11-10 0:00,66954.11
2021-11-11 0:00,64976.73
2021-11-12 0:00,64838.81
2021-11-13 0:00,64254.67
2021-11-14 0:00,64420.94
2021-11-15 0:00,65468.75
2021-11-16 0:00,63584.25
2021-11-17 0:00,60172.26
2021-11-18 0:00,60381.35
2021-11-19 0:00,56921.34
2021-11-20 0:00,58133.02
2021-11-21 0:00,59777.98
2021-11-22 0:00,58755.9
2021-11-23 0:00,56301.52
2021-11-24 0:00,57578.22
2021-11-25 0:00,57187.54
2021-11-26 0:00,58935.45
2021-11-27 0:00,53588.21
2021-11-28 0:00,54801.15
2021-11-29 0:00,57292.28
2021-11-30 0:00,57828.45
2021-12-01 0:00,57025.79
2021-12-02 0:00,57229.76
2021-12-03 0:00,56508.48
2021-12-04 0:00,53713.84
2021-12-05 0:00,49253.86
2021-12-06 0:00,49380.43
2021-12-07 0:00,50564.63
2021-12-08 0:00,50645.41
2021-12-09 0:00,50511.12
2021-12-10 0:00,47659.68
2021-12-11 0:00,47137.46
2021-12-12 0:00,49379.67
2021-12-13 0:00,50117.25
2021-12-14 0:00,46757.09
2021-12-15 0:00,48392.79
2021-12-16 0:00,48884.66
2021-12-17 0:00,47658.38
2021-12-18 0:00,46173.51
2021-12-19 0:00,46863.67
2021-12-20 0:00,46689.28
2021-12-21 0:00,46910.13
2021-12-22 0:00,48934.57
2021-12-23 0:00,48628.35
2021-12-24 0:00,50785.69
2021-12-25 0:00,50814.92
2021-12-26 0:00,50470.89
2021-12-27 0:00,50801.11
2021-12-28 0:00,50692.3
2021-12-29 0:00,47601.26
2021-12-30 0:00,46408.87
2021-12-31 0:00,47132.96
2022-01-01 0:00,46249.56
2022-01-02 0:00,47763.33
2022-01-03 0:00,47327.87
2022-01-04 0:00,46441.99
2022-01-05 0:00,45862.98
2022-01-06 0:00,43436.17
2022-01-07 0:00,43120.63
2022-01-08 0:00,41528.04
2022-01-09 0:00,41690.93
2022-01-10 0:00,41864.44
2022-01-11 0:00,41849
2022-01-12 0:00,42723.37
2022-01-13 0:00,43926
2022-01-14 0:00,42546.44
2022-01-15 0:00,43099.37
2022-01-16 0:00,43146.53
2022-01-17 0:00,43102.44
2022-01-18 0:00,42248.35
2022-01-19 0:00,42381.48
